brand,station_count,location_count
TATS DELICATESSEN,3,1
TATTOO TATTOO,3,1
TAYLOR SHELLFISH OYSTER BAR,3,1
TEASSERT,3,1
TEDDIE HOUSE ART,3,1
TEN SECONDS YUNNAN RICE NOODLE,3,1
TEN TOWNSEND,3,1
TENDON KOHAKU,3,1
TERRA PLATA,3,1
TERRIS DRAHEIM,3,1
THAI PLACE,3,1
THC COLLECTIVE,3,1
THE ALIBI ROOM,3,1
THE ALLEY,3,1
THE ART STALL GALLERY,3,1
THE BEAUTY BAR SEATTLE,3,1
THE BERLINER DONER KEBAB,3,1
THE CAPITAL GRILLE 8030,3,1
THE CLOG FACTORY,3,1
THE CORNER STORE,3,1
THE CROW PIGEON,3,1
THE DANDY OF KING STREET CROSSING,3,1
THE DILLER ROOM,3,1
THE FINERIE,3,1
THE FISHERMANS RESTAURANT,3,1
THE FRANKFURTER,3,1
THE HIDEOUT,3,1
THE HISTORIC TRIANGLE PUB,3,1
THE MEYER,3,1
THE ORIGINAL DELI,3,1
THE OUTPOST STATIONERY,3,1
THE SANDWICH SAGA,3,1
THE SPANISH TABLE DBA PARIS MADRID GROCERY,3,1
THE TOP RESTAURANT AND LOUNGE,3,1
THE TRIPLE DOOR,3,1
THE VUTIQUE,3,1
TIBETAN NUNS PROJECT,3,1
TIDELAND ARTS,3,1
TIGI S FRAGRANCE CORNER,3,1
TIN PIG,3,1
TINY DWELLER,3,1
TON KIANG BBQ NOODLE HOUSE,3,1
TRACY NGUYEN BROWS BEAUTY,3,1
TRANSPACIFIC,3,1
TRASH BIN TREASURES,3,1
TREASON GALLERY,3,1
TRICHOME,3,1
TRINITY NIGHTCLUB,3,1
TSUKUSHINBO RESTAURANT,3,1
TURABI FINE ORIENTAL RUGS,3,1
TURGEON RAINE JEWELLERS,3,1
TWB SOUTH SEATTLE,3,1
TYRONE RAWLS,3,1
UGLY BABY,3,1
UMAI SUSHI TERIYAKI,3,1
UMMADAK,3,1
UNDERBELLY,3,1
UNDERGROUND TOURS,3,1
UNION STATION MARKET,3,1
UWAJIMAYA,3,1
V MASSAGE,3,1
VAIN,3,1
VANG NENG,3,1
VEGGIE GRILL,3,1
VIBE TACO,3,1
VIDEOHOP,3,1
VINOS PINGUINOS,3,1
VINTAGE MOORE,3,1
VITAL T LEAF,3,1
VIVIENNES BISTRO,3,1
VONS 1000 SPIRITS,3,1
VOVITO ESPRESSO GELATO PIZZA,3,1
VOX KARAOKE,3,1
VOXX COFFEE,3,1
W T HOYT COMPANY,3,1
WAI CHING,3,1
WALGREENS 06194,3,1
WALNUT ART,3,1
WATERFRONT MARKET DELI,3,1
WATERMARK BINDERY,3,1
WATSON KENNEDY FINE HOME,3,1
WAYNEYSLC,3,1
WESSEL LIEBERMAN BOOKSELLERS,3,1
WEST COAST DIAMOND GEM,3,1
WESTVIEW NAILS AND HAIR SALON,3,1
WILD GINGER,3,1
WINDHORSE,3,1
WING DOME,3,1
WING DOME PIER 56,3,1
WISHBONE MENAGERIE,3,1
WOLFGANG PUCK CATERING AND EVENTS,3,1
WOODROW JEWELERS,3,1
WOODSIDE BRASETH GALLERY,3,1
WORLD PIZZA,3,1
XING WANG INVESTMENT,3,1
YARD HOUSE 8343,3,1
YARN DRAGON,3,1
YE OLDE CURIOSITY SHOP,3,1
YMA ESTHETICS,3,1
YOMIES RICE YOGURT,3,1
YONG FENG SHANG DIAN,3,1
YOSHINO TERIYAKI,3,1
YOUR HEALTH BODY,3,1
YUE BAKING CLUB,3,1
YUKA GRENFELL,3,1
ZAIKA RESTAURANT AND LOUNGE,3,1
ZEITGEIST COFFEE,3,1
ZIBA,3,1
0017 THOMAS MANAGEMENT,2,1
2120 SEATTLE,2,1
3RD AVENUE CAFE,2,1
5TH AVE BARBER STYLE,2,1
7 ELEVEN 41883A,2,1
7 ELEVEN B,2,1
845145472,2,1
8TH OLIVE MR WEST,2,1
A A ALL SHOP,2,1
A DJ A COOK,2,1
ACALIA,2,1
AERLUME,2,1
AESOP,2,1
AESTHETICS AND ELECTROLOGY,2,1
AFGHAN CRAFT,2,1
AFRICAN BEAUTY FASHION,2,1
AGY NORTHWEST GROUP,2,1
AIIDEN,2,1
AIMAC,2,1
ALADDIN HOOKAH LOUNGE,2,1
ALDERA ESTHETICS,2,1
ALEXANDER SCOTT HAIR,2,1
ALEXANDRA S DESIGNER CONSIGNMENT,2,1
ALFONSOSALON COM,2,1
ALHAMBRA,2,1
ALIA GRILLOS,2,1
ALLEY MIC STUDIO,2,1
ALLSAINTS SPITALFIELDS,2,1
AMBER,2,1
AMERICAN MARINE INGREDIENTS,2,1
AMERICAN MARY BELLTOWN,2,1
AMOT PUTI ON CRAFTS,2,1
ANDREWS,2,1
ANDRIEL ROLANDO,2,1
ANIMAL GIFTS COLLECTIBLE,2,1
ANIMYNATION,2,1
ANTHROPOLOGIE,2,1
ARACA MERCHANDISE,2,1
ARAMARK WA STATE CONVENTION CENTER,2,1
ARCTERYX,2,1
ARMELDILLO ART,2,1
ART OF ILLUSTRATION,2,1
ASSAGGIO RISTORANTE,2,1
ASTER GEBRE,2,1
ATHENIAN INN,2,1
B L M F A LITERARY SALOON,2,1
BA HAIR,2,1
BABY COMPANY ACQUISITION,2,1
BACCO CAFE,2,1
BAIANA,2,1
BAMPSI SUPPLY,2,1
BANDANAS ARTS OF INTEREST,2,1
BAO HOME,2,1
BAR DEL CORSO,2,1
BARNES AND NOBLE BOOKSELLERS,2,1
BAROLO,2,1
BASIC STOCK KITCHENWARE,2,1
BATHTUB GIN COMPANY,2,1
BEAUCIEL AESTHETIC,2,1
BEECHERS HANDMADE CHEESE,2,1
BELL TOWN TOBACCO,2,1
BELLA,2,1
BELLTOWN BARBER,2,1
BELLTOWN BODEGA,2,1
BELLTOWN GROCERY,2,1
BEN BRIDGE JEWELER,2,1
BENAVIS,2,1
BENDO MERCHANDISE,2,1
BENTO WORLD,2,1
BEST BEVERAGE CATERING,2,1
BETTER MASSAGE,2,1
BEURRE ET LA FILLE,2,1
BEYOND,2,1
BG INTERNATIONAL SERVICE,2,1
BILLY VANCOURT,2,1
BIRD BERRY NURSERY,2,1
BIRRIERIA JALISCO,2,1
BISCUIT BITCH,2,1
BLACK CAT BAR,2,1
BLAZING BAGELS,2,1
BLU DOT DESIGN AND MANUFACTURING,2,1
BLUE SCHOLARS,2,1
BMW SEATTLE,2,1
BOBBIE MEDLIN,2,1
BOMBO,2,1
BONGA PARTNERS,2,1
BOOK OF THE DRAW,2,1
BOSTON STREET BABY,2,1
BOWIE SALON,2,1
BPC SLU 2 0,2,1
BRENNA FLOOD ART,2,1
BROWS BY JEN,2,1
BROWZ,2,1
BUDDHA BRUDDAH,2,1
BY CHELSEA,2,1
C C FOOD STORE,2,1
C SWANBERG,2,1
CABANILLAS BUENDIA VICTOR,2,1
CAFE CALAVERAS,2,1
CAFE MADELINE BY COURTHOUSE,2,1
CAFE OPLA,2,1
CAFE REMIX,2,1
CAFE STELLINA,2,1
CAFFE SENSO UNICO,2,1
CALIBURGER WESTLAKE,2,1
CALLEJON,2,1
CANDY STORE,2,1
CANDY TYME,2,1
CANTINA DEL SOL,2,1
CAPSULE PHARMACY,2,1
CAROLINE PATRICK,2,1
CARTER LIEBMAN,2,1
CASCADE FADES 206,2,1
CASCADIA CRYPTIDS,2,1
CASESISTERS,2,1
CEDAR SPOKES COFFEE,2,1
CEDARWOOD PROPERTIES,2,1
CENTERSTAGE DANCE SHOP,2,1
CESAR CARO,2,1
CHAI SUTRA,2,1
CHAN SEATTLE,2,1
CHARBON SALON,2,1
CHARLES SAUL DESIGNER,2,1
CHARLY BEAUTY STUDIO,2,1
CHATTERBOX,2,1
CHEESE ROOM SEATTLE,2,1
CHERRY STREET COFFEE HOUSE ON OLIVE WAY,2,1
CHICKEN VALLEY,2,1
CHIKKU CHIKKU,2,1
CHOCOLATE ICE CREAM DELIGHT,2,1
CHOCOLATE MARKET,2,1
CHOICES PRODUCE,2,1
CHOPCHOP SEATTLE,2,1
CHRISTOPHER FLOWERS,2,1
CINQUE TERRE,2,1
CIRCA LIGHTING,2,1
CITY FISH SEATTLE,2,1
CITYDOG CLUB,2,1
CLAIRES,2,1
CLASP CHARM,2,1
CLASSIC AND CLASSY DOG SPA,2,1
CLEOPATRA INK TATTOO PIERCING SEATTLE,2,1
CLOUDNINE CONVENIENCE,2,1
CLUBINJECT,2,1
CM CHICKEN SEATTLE,2,1
COBBS,2,1
COCO BROWN CREATIONS,2,1
COFFEE TAB,2,1
CONSCIOUS WEAR,2,1
CONSTANCE DORGAN,2,1
COPACABANA CAFE,2,1
CORA SWEET TREATS,2,1
COUPANG,2,1
CROWBAIT,2,1
CRYSTALLOGRAPHY GEMS,2,1
CUT CLUB,2,1
CUTE THINGS SEATTLE,2,1
CUTTERS CRABHOUSE,2,1
CVS PHARMACY 11648,2,1
D G RILEY,2,1
D S HAIR BEAUTY SUPPLY,2,1
DAAWAT GRILL BAR,2,1
DAHLIA LOUNGE,2,1
DAI TRUONG,2,1
DAILY RITUAL MARKET,2,1
DAN MCLEAN,2,1
DANA S BEAUTY SALON,2,1
DANIELS BROILER DOWNTOWN SEATTLE,2,1
DARKTRACE,2,1
DASHI,2,1
DELI SHEZ CAFE,2,1
DERMASPACE,2,1
DI FIORA,2,1
DIMITRIOUS JAZZ ALLEY,2,1
DIN TAI FUNG,2,1
DIZOLVE MEAD,2,1
DOCKSIDE CANNABIS,2,1
DOGFISH,2,1
DONG HING MARKET,2,1
DONNAS,2,1
DOOST PETS,2,1
DOPPLER MARKET PL L2,2,1
DOUBLE DORJEE,2,1
DOWNTOWN ROMIOS PIZZA PASTA,2,1
DOWNTOWN SPIRITS,2,1
DRUGSTORE COWBOYS,2,1
DRYTILE NORTH AMERICA,2,1
DUAL WIELD STUDIO,2,1
DZUL INK,2,1
EAR REVERENCE,2,1
EARTH WIND AND FIRE,2,1
EAT WITH BREAD,2,1
EBBETS FIELD FLANNELS,2,1
ECLIPSE SUNGLASSES,2,1
ECODESIGNS,2,1
EGG SLUT,2,1
EILEEN FISHER,2,1
EL BORRACHO,2,1
EL CORAZON,2,1
EL MERCADO LATINO,2,1
EL QUETZAL,2,1
ELEGANTE ELECTROLYSIS,2,1
ELIZABETH DESIGNS,2,1
ELLE FLORENCE APPAREL,2,1
ELZS,2,1
EMERALD CITY PAWS,2,1
EMILY E CURRAN,2,1
EMMETT WATSON S OYSTER BAR,2,1
EMPANADAS EL PACHI,2,1
ERGOFLEX SYSTEMS,2,1
ERNIE SEPPA,2,1
ESPRESSO CAFFE DIOR,2,1
ETHIOBLUE,2,1
EUPHORIC HAIR DESIGN AND GROOMING STUDIO,2,1
EUROPEAN CONGLOMERATE GROUP,2,1
EVA S CAFE AND BAR,2,1
EVENT NETWORK 5118,2,1
EXCLUSIVE BOUTIQUE,2,1
F J GREAT WESTERN TRADING,2,1
FACTORY 43,2,1
FALENA,2,1
FAMILYFRIEND,2,1
FANCY PLANTS SEATTLE,2,1
FARVAHAR PERSIAN CAFE,2,1
FEDERAL ARMY NAVY SURPLUS,2,1
FIND IT FORWARD,2,1
FIORAVANTI,2,1
FIREWORKS GALLERIES,2,1
FIRST AND BELL,2,1
FIRST AVENUE LEASING,2,1
FISHPOND COM,2,1
FJALLRAVEN,2,1
FLIGHT TAP TABLE SEATTLE,2,1
FOG AND FLAIR DESIGNS,2,1
FORGOTTEN REALMS DESIGNS,2,1
FORMLINE COFFEE,2,1
FOSSIL STONE,2,1
FRANKS PRODUCE,2,1
FRANTIC ART,2,1
FREEDOM ARMS,2,1
FREEDOM BAR,2,1
FRESH OFF BOAT POKE BAR,2,1
FRESH ROOTS SEATTLE,2,1
FRESH SEATTLE,2,1
FROM THE BLOCK,2,1
GALLERY ONYX,2,1
GB OPEN SPACE,2,1
GBC ENERGY,2,1
GHOST GALLERY,2,1
GHOST S VAULT,2,1
GLACIER WINDOW DOOR,2,1
GLAMHER BEAUTY BAR,2,1
GLASSWING,2,1
GODS IMAGE,2,1
GOHAN,2,1
GOLDEN AGE COLLECTABLES,2,1
GOOD SHAPE PIZZA,2,1
GORILLA SCREENPRINTING,2,1
GOURMONDO CATERING,2,1
GRAHAM BABA INTERIORS,2,1
GREAN,2,1
GREAT PACIFIC PATAGONIA,2,1
GREAT STATE BURGER NOROESTE,2,1
GREGARIAN ENTERPRISES,2,1
GROUNDED,2,1
GRUMPY BEAN,2,1
GSBA,2,1
GT BARBERSHOP,2,1
GTL SYSTEMS,2,1
GYRO SAJ,2,1
H A GEMS AND MINERLALLS,2,1
H MART,2,1
HAHA,2,1
HAIDILAO HOT POT,2,1
HAIR BY CHUY,2,1
HALL MADDEN,2,1
HANDS OF THE WORLD,2,1
HAPPY DAYS AND FUNNY NIGHTS,2,1
HAPPY KETTLE CORN,2,1
HARMONIA CONCEPTS,2,1
HARRYS MELROSE MARKET,2,1
HASHTAG WAFFLES,2,1
HATBACK BAR GRILL,2,1
HAVE A HEART,2,1
HAZEL KNITS,2,1
HEAVENLY THREADS,2,1
HELENES JEWELS,2,1
HELLENIKA,2,1
HERMAN MILLER,2,1
HERO HARDWARE,2,1
HEY JUDE GOODS,2,1
HIGH MAINTENANCE SKINCARE STUDIO,2,1
HOLIDAY MARKET AT WESTLAKE PARK,2,1
HOLISTIC COALITION,2,1
HOLY COW RECORDS,2,1
HONEST BISCUITS,2,1
HOOVERVILLE BAR,2,1
HOUSE OF JADE,2,1
HOYLE HAT,2,1
HUFF MAUREEN L,2,1
HUNT MARKETING GROUP,2,1
HYDRATE JUICE BAR,2,1
HYOITSU,2,1
IC FULFILLMENT SERVICES,2,1
IMMURIO,2,1
IMPERIAL FOOT MASSAGE,2,1
INDIGOGH,2,1
INDOCHINO,2,1
INFORM INTERIORS,2,1
INKDMII,2,1
INN AT THE MARKET,2,1
INTERNATIONAL CIGAR TOBACCO,2,1
INTERNATIONAL NEWS,2,1
INTERNATIONAL SIGN,2,1
ISADORAS,2,1
ISLAND DELIGHTS,2,1
JACK EZRA CATCO,2,1
JACK STRAW,2,1
JACKSON PRODUCTIONS,2,1
JADE DECOR,2,1
JAPANESE GOURMET,2,1
JASMINE THAI RESTAURANT,2,1
JAY DAY,2,1
JAY WILSON,2,1
JAZMIN COLLECTIVE,2,1
JIMMY JOHNS GOURMET SANDWICHES 1349,2,1
JOHN FLUEVOG SHOES,2,1
JOHN WILEY PHOTOGRAPHY,2,1
JOHNNY ROCKETS,2,1
JOI BEAUTY STUDIO,2,1
JOYALE SEAFOOD RESTAURANT,2,1
JRNL OF JAPAN STUDIES,2,1
JUICY CAFE,2,1
JUMBO CATERING,2,1
JUNIORS,2,1
JUNKO YAMAMOTO STUDIO,2,1
JUSTINA,2,1
KAILASH,2,1
KANAK INDIAN CUISINE,2,1
KAS,2,1
KASALA OFFICE,2,1
KASTOORI GRILL,2,1
KAYA,2,1
KELLS IRISH RESTAURANT BAR,2,1
KENTUCKY FRIED CHICKEN TACO BELL,2,1
KETTLE KINGDOM,2,1
KEY LEAVES,2,1
KEYS ON MAIN SEATTLE,2,1
KHAMTANH PRODUCE,2,1
KILIG SEATTLE,2,1
KIND AND PLENTY,2,1
KODANGS USA,2,1
KOSHARI,2,1
KRISPY KREME 8990,2,1
KUBROM,2,1
KUCUMBER SKIN LOUNGE,2,1
KUHL,2,1
KUKAI RAMEN IZAKAYA,2,1
KYLE HAIR,2,1
LA BUONA TAVOLA,2,1
LA CANTINA LENA,2,1
LA COCINA OAXAQUERIA,2,1
LA FONTANA SICILIANA,2,1
LA JOSIES TEQUILA BAR,2,1
LA RU,2,1
LABELMASTER SOFTWARE,2,1
LAMPLIGHT BOOKS,2,1
LATE NIGHT VINTAGE MALL,2,1
LAUREN HOLLOWAY,2,1
LE CAN CAN,2,1
LE CAVISTE,2,1
LE MUSETTE CAFE,2,1
LE PICHET,2,1
LEBECKER HAIRSTYLIST,2,1
LEFT BANK BOOKS,2,1
LEGAL VOICE,2,1
LEILA KLEIN,2,1
LEOLO,2,1
LETEKIDAN KIFLU,2,1
LEVANT CAFE 2,2,1
LIGHT BEING JEWELS,2,1
LIL WOODYS,2,1
LIL WOODYS CATERING,2,1
LISTEN HEAR EVENTS,2,1
LITTLE KNITS,2,1
LITTLE MARIAS,2,1
LITTLE THING WINE,2,1
LOAFLY,2,1
LOCAL 360,2,1
LOCALLY LED TRANSNATIONAL,2,1
LOLA,2,1
LONELY SIREN,2,1
LOS AGAVES DINING SERVICES,2,1
LOUIS VUITTON,2,1
LOWELLS RESTAURANT,2,1
LUA,2,1
LUDIS RESTAURANT LOUNGE,2,1
LULA COFFEE,2,1
LUNAGLOW,2,1
LUNCHBOX WAX,2,1
LUNGU GIFTS ANTIQUES,2,1
MA MO DESIGN,2,1
MABEL BREMPONG,2,1
MACYS WATCH JEWELRY REPAIR DEPT,2,1
MADE IN WASHINGTON,2,1
MADISON CUTS,2,1
MAGGIES SHOES,2,1
MAGGIES SHOES 1,2,1
MAGHREB MARKETPLACE,2,1
MAGPIE MOUSE STUDIOS,2,1
MAJOR LEAGUE 360,2,1
MAKINA INTERNATIONAL,2,1
MAMA CHAVEZS TAMALES MORE,2,1
MAMNOON,2,1
MAMNOON STREET,2,1
MANZO BROS FRUIT PROD,2,1
MARAKESH HANDCRAFT,2,1
MARCHE CAFE CAMPAGNE,2,1
MARIES JEWLERY BUSINESS,2,1
MARIGOLD NAILS SALON,2,1
MARINATION,2,1
MARINE LAYER,2,1
MARION FINLEY GUILD,2,1
MARIOS,2,1
MARIPILI AT THE FRIEDA,2,1
MARKET ART,2,1
MARKET COINS,2,1
MARKET DINER,2,1
MARKET FRESH V,2,1
MARKET GRILL,2,1
MARKET GROCERY DELI,2,1
MARKET HOUSE MEATS,2,1
MARKET MAGIC SHOP,2,1
MARKET STREET BAGS,2,1
MARKET TOBACCO PATCH GAMES,2,1
MARLITA BROWS,2,1
MARV S FAMOUS HOT DOGS,2,1
MATTS IN THE MARKET,2,1
MCDONALDS,2,1
MCDONALDS 00435,2,1
MEET KOREAN BBQ,2,1
MERCEDES BENZ OF SEATTLE,2,1
MERMADE,2,1
METAMORPHOSIS LEATHERS,2,1
METRO TAILORING ALTERATIONS,2,1
METROPOLITAN APPLIANCE,2,1
METROPOLITAN DELI CAFE,2,1
MH BAKERY,2,1
MICHAEL KNIGHT SALON,2,1
MICHOU,2,1
MICHOU DELI,2,1
MICKS PEPPOURRI,2,1
MIDNIGHT BAGELS,2,1
MIDNIGHT COOKIE COMPANY,2,1
MIDORI PILATES BODYWORK,2,1
MIDORI TERIYAKI,2,1
MIDTOWN ESPRESSO,2,1
MISS CAFE,2,1
MK BARBER,2,1
MN LEASING,2,1
MOON VALLEY DESIGNS,2,1
MOORE COFFEE,2,1
MOSES SOLOMON,2,1
MOUNT BAKER CLEANERS,2,1
MOUNTAIN ROSE HERBS MERCANTILE,2,1
MOYA ENTERPRISES,2,1
MPL INNOVATIONS,2,1
MR DS GREEK DELI,2,1
MR WELL TRAVELLED,2,1
MUCCI ROSE,2,1
MUNCHIE MART GENERAL STORE,2,1
MY CORNER,2,1
MYANO NAILS,2,1
NAIL NOVA,2,1
NAILED IN SEATTLE,2,1
NAILS BY LO,2,1
NATIONAL FURNITURE RENTAL SALES,2,1
NETRA EYEBROW THREADING WAXING SALON,2,1
NEWTONIA PUBLISHING,2,1
NGUYENS PHARMACY GIFTS,2,1
NORDSTROM,2,1
NORDSTROM DIRECT,2,1
NORDSTROM INTERNATIONAL,2,1
NOREN SUSHI KITCHEN BAR,2,1
NORTHWEST AUTOSHIELD,2,1
NORTHWEST FRAMING,2,1
NURA RENUA,2,1
NUTANIX,2,1
NYC 7TH AVENUE DELI MARKET,2,1
OAK,2,1
OBSERV,2,1
OH YEAH BANH MI SODO,2,1
OHANA,2,1
OLD HABITS BARBERSHOP,2,1
OLIVE EMBER BEAUTY,2,1
ONEOFEACH,2,1
OPEN AIR SCENT,2,1
OPEN FORM,2,1
OPTIMER INTERNATIONAL,2,1
ORACLE OF ISREAL NON PHOPHET ASSOCIATION,2,1
ORANGE DRACULA,2,1
ORCAS PALEY,2,1
ORIENTAL MART,2,1
OUTDOOR EMPORIUM,2,1
OWENS MEATS WAGON,2,1
PAIGE ALARIE,2,1
PALACE KITCHEN,2,1
PANARCHY PIZZA,2,1
PANDORA,2,1
PAPPARDELLE S PASTA OF PIKE PLACE MARKET,2,1
PATRICK SHAWN L,2,1
PAWLOOPS,2,1
PAYNETA STUDIO,2,1
PEN INK DRAWINGS BY PATRICK T KERR,2,1
PENDLETON WOOLEN MILLS,2,1
PERENNIAL TEA ROOM,2,1
PERFECTION NAILS SPA,2,1
PETRA BISTRO PETRA MEDITERRANEAN BISTRO,2,1
PHO 25,2,1
PHO 4U RESTAURANT,2,1
PHO BAC,2,1
PHO BASIL,2,1
PICADERA PNW,2,1
PIE BAR,2,1
PIEDMONT CAFE,2,1
PIKE GROCERY,2,1
PIKE PL MARKET CREAMERY,2,1
PIKE PLACE BAR GRILL,2,1
PIKE PLACE CHINESE CUISINE,2,1
PIKE PLACE FISH MARKET,2,1
PIKE PLACE FLOWERS,2,1
PIKE PLACE GIFT,2,1
PIKE PLACE NATURAL FOOD,2,1
PIKE STREET COFFEE,2,1
PIKE WESTERN,2,1
PINK DOOR THE,2,1
PINK TANUKI NAILS,2,1
PIRANHA SHOP,2,1
PIZZA PASTA BAR,2,1
PLANTBABY,2,1
PLAY IT AGAIN SPORTS,2,1
POKE ALICE 2,2,1
POLISH POTTERY PLACE,2,1
POONEH KITCHEN,2,1
POP THE SALON,2,1
PRO IMAGE SPORTS 714,2,1
PROTO101,2,1
PUFFTOWN BAKEHOUSE,2,1
PUMA,2,1
PUMAROSA,2,1
PUP 2 PUP,2,1
PURE FOOD FISH MARKET,2,1
PURPLE STORE,2,1
PYRAMID IMPORTS,2,1
QIAO LIN HOTPOT,2,1
QUALITY CHOCOLATE,2,1
QUALITY FOOD CENTERS QFC 849,2,1
QUEEN CITY,2,1
R B TEA DOWNTOWN SEATTLE,2,1
R BURNETT,2,1
RACING MIAMI,2,1
RACK ATTACK,2,1
RADIATOR WHISKEY,2,1
RADOVA LIFESTYLE,2,1
RAIN SHADOW MEATS,2,1
RAPHA RACING,2,1
RAZZIS PIZZERIA,2,1
RBA FURNITURE SOLUTIONS,2,1
RE PC,2,1
REA EARTH,2,1
RESILIENCE BARBER,2,1
RESTAURANT HOMER,2,1
RGB MARKET,2,1
RIMWALKER PACIFIC,2,1
RINGS AND THINGS,2,1
ROBERT LEONARD SALON DAY SPA,2,1
ROBYN S PADLAN HAIR SALON,2,1
ROJO JUICE,2,1
ROSA SANDERS UWADIALE,2,1
ROSE AND ROPE,2,1
ROSETTE JEWELS,2,1
ROSI QUESADILLAS,2,1
ROTARY GROCERY,2,1
ROYAL PHOENIX,2,1
RUBINSTEIN BAGELS VIA6,2,1
RUBYS,2,1
RUBYS SEATTLE GIFT GALLERY,2,1
RUMMAGE AROUND,2,1
RUTHS CHRIS STEAK HOUSE,2,1
SAISEI APPAREL,2,1
SALENA MEXICANA,2,1
SALON 206,2,1
SALON CIRCA,2,1
SALON MOTO,2,1
SALUA LINGERIE,2,1
SANKAKU ONIGIRI CAFE BAR,2,1
SARAJEVO,2,1
SARAJEVO NIGHT CLUB,2,1
SAYR BY SARA MARCH,2,1
SAYWEEE COM,2,1
SCIENCE QUALITY BY TINY MIRACLES BEAUTY,2,1
SCULPT PILATES NORTHWEST,2,1
SEAS PEAS,2,1
SEATOWN SEABAR ROTISSERIE,2,1
SEATTLE AQUARIUM GIFT STORE,2,1
SEATTLE BENTO POPS,2,1
SEATTLE CHILDRENS GUILD ASSOCIATION,2,1
SEATTLE COFFEE COLLECTIVE,2,1
SEATTLE COFFEE WORKS PINE,2,1
SEATTLE COMPUTER MUSEUM,2,1
SEATTLE CUTLERY,2,1
SEATTLE RISE COLLECTIVE,2,1
SEATTLE SAUSAGE URBAN GRILL,2,1
SEATTLE SUPER SLICES,2,1
SEATTLE TEAM SHOP 8102,2,1
SELASES BEAUTY SALON,2,1
SELF MADE COUTURE,2,1
SEPHORA,2,1
SERENA THE ART OF HAIR DESIGN,2,1
SERGIOS BARBER SHOP,2,1
SERIOUS PIE VIRGINIA,2,1
SERRA SC,2,1
SEW IT SEAMS TIE DYE,2,1
SHAMROCK LN THE CLADDAGH SHOPPE,2,1
SHEILA WALSH ASSOCS,2,1
SHELF AWARENESS,2,1
SHINE IN THE MARKET,2,1
SHUGS SODA FOUNTAIN,2,1
SHY GIANT FROZEN YOGURT,2,1
SILVER CHERRY,2,1
SIMPLE LIFE,2,1
SINGLES GOING STEADY,2,1
SIP N GO,2,1
SIRENA AGLW,2,1
SIROON COLLECTIONS,2,1
SISALCARPET COM,2,1
SISTERS,2,1
SKILLET,2,1
SKY SALON,2,1
SLICES USA,2,1
SLPR,2,1
SMILELASH BEAUTY,2,1
SNOWY VILLAGE,2,1
SOCIAL GROUNDS COFFEE TEA,2,1
SOCIAL TEA CAPITOL HILL,2,1
SOLSTICE DESIGNS,2,1
SONU BEAUTY BAR,2,1
SONYAS BAR GRILL,2,1
SOSIOS FRUIT PRODUCE,2,1
SOUND FENCE COMPANY,2,1
SOUND VIEW CAFE,2,1
SPARKLE N GLEAM,2,1
SPARKLE SLIME,2,1
SPIC N SPAN,2,1
SPIN,2,1
SPRUCE SODO,2,1
SQUIRE BARBERSHOP,2,1
SRD,2,1
STADIUM ARCO,2,1
STANCE CADDY,2,1
STARBB TOYS,2,1
STARBUCKS COFFEE 104,2,1
STARBUCKS COFFEE 25577,2,1
STARBUCKS COFFEE 301,2,1
STARBUCKS COFFEE 3298,2,1
STARBUCKS COFFEE 3379,2,1
STELLA NICHE,2,1
STEPHANIE PICAZO ARTISTRY,2,1
STEWART STREET BARBERS,2,1
STONEWAY ELECTRIC SUPPLY,2,1
STREET CHEESE CHEESE SCHOOL OF SEATTLE,2,1
STRUCTURE SALON,2,1
STUDS,2,1
SUBWAY 11801,2,1
SUBWAY 11801 1,2,1
SUBWAY 20520,2,1
SUBWAY 24968,2,1
SUCREY SALEY,2,1
SUGAR HILL,2,1
SUI,2,1
SUNSET BOBA,2,1
SUNSHINE JEWELRY,2,1
SUR LA TABLE,2,1
SUSHI AVE,2,1
SUSHI KASHIBA,2,1
SUSHI MAKI,2,1
SWAHILI DISHES,2,1
SWEET BAGS,2,1
SWEETIES CANDY,2,1
SWINK STYLE BAR,2,1
TACO TIME,2,1
TAMARIBAR,2,1
TANAKASAN,2,1
TAYLOR SHELLFISH FARMS,2,1
TAYLOR STITCH,2,1
TAZ,2,1
TEA LABS,2,1
TENDER LOVING EMPIRE,2,1
THAIGO,2,1
THE BALCONY SHOP,2,1
THE BOOK CLUB OF WASHINGTON,2,1
THE CAFE HAPPY,2,1
THE CARLILE ROOM,2,1
THE CHAPEL LOUNGE,2,1
THE CHEESE BOX,2,1
THE COIN STAMP SHOP,2,1
THE COLLEGE INN PUB,2,1
THE COUPE FLUTE,2,1
THE CRUMPET SHOP,2,1
THE FLOW NAILS,2,1
THE GOLDEN GOOSE,2,1
THE HANDMADE SHOWROOM,2,1
THE HENRY GALLERY ASSOCIATION,2,1
THE HOUSE OF SILVER GOLD ANIMAL LOVER,2,1
THE LITTLE STORE,2,1
THE LUNCH LADIES,2,1
THE MYSTIC MOON SPELLS AND APOTHECARY,2,1
THE NEW STANDARD MODERN BARBERING,2,1
THE PINE BOX,2,1
THE POTTED GARDENS,2,1
THE PRO SHOP,2,1
THE RABBIT BOX,2,1
THE RETRO,2,1
THE SEATTLE EAGLE,2,1
THE SOUK,2,1
THE TALL CHEF,2,1
THE TAPROOM AT PIKE PLACE,2,1
THE TASTING ROOM,2,1
THE TILTED TABLE,2,1
